Testing v8 version different from logging version
Statistical profiling result from isolate-0x562c3ce11fc0-52-v8.log, (106201 ticks, 56096 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  LazyCompile: *_ishlnsubmul /app/node_modules/bn.js/lib/bn.js:2214:53
      5    0.0%    0.0%  LazyCompile: *Socket.resume net.js:611:35
      5    0.0%    0.0%  LazyCompile: *Readable.push _stream_readable.js:212:35
      4    0.0%    0.0%  RegExp: ^(.*)[\\/]node_modules[\\/]
      4    0.0%    0.0%  LazyCompile: *slice buffer.js:1104:40
      4    0.0%    0.0%  LazyCompile: *read /app/node_modules/it-to-stream/src/duplex.js:28:18
      4    0.0%    0.0%  LazyCompile: *push internal/streams/buffer_list.js:18:7
      4    0.0%    0.0%  LazyCompile: *next internal/streams/async_iterator.js:68:7
      4    0.0%    0.0%  LazyCompile: *negate /app/node_modules/elliptic/lib/elliptic/curve/short.js:465:26
      4    0.0%    0.0%  LazyCompile: *flow _stream_readable.js:1004:14
      4    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1234:23
      4    0.0%    0.0%  LazyCompile: *_verify2 /app/node_modules/bn.js/lib/bn.js:3146:46
      4    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:393:52
      4    0.0%    0.0%  LazyCompile: *Transform.push _stream_transform.js:150:36
      4    0.0%    0.0%  LazyCompile: *RedisClient.<computed>.RedisClient.<computed> /app/node_modules/redis/lib/commands.js:15:98
      4    0.0%    0.0%  LazyCompile: *Readable.removeListener _stream_readable.js:902:45
      4    0.0%    0.0%  LazyCompile: *<anonymous> internal/util/debuglog.js:70:10
      3    0.0%    0.0%  RegExp: ^\/|\\
      3    0.0%    0.0%  RegExp: \r?\n
      3    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      3    0.0%    0.0%  RegExp: ; *([!#$%&'\*\+\-\.0-9A-Z\^_`a-z\|~]+) *= *("(?:[ !\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u0020-\u007e])*"|[!#$%&'\*\+\-\.0-9A-Z\^_`a-z\|~]+) *
      3    0.0%    0.0%  LazyCompile: *write buffer.js:604:12
      3    0.0%    0.0%  LazyCompile: *resolve path.js:973:10
      3    0.0%    0.0%  LazyCompile: *redNeg /app/node_modules/bn.js/lib/bn.js:2918:41
      3    0.0%    0.0%  LazyCompile: *readPackageScope internal/modules/cjs/loader.js:262:26
      3    0.0%    0.0%  LazyCompile: *prepareStackTrace internal/errors.js:55:27
      3    0.0%    0.0%  LazyCompile: *onCorkedFinish _stream_writable.js:667:24
      3    0.0%    0.0%  LazyCompile: *needFinish _stream_writable.js:600:20
      3    0.0%    0.0%  LazyCompile: *isBN /app/node_modules/bn.js/lib/bn.js:57:27
      3    0.0%    0.0%  LazyCompile: *getEncoding /app/node_modules/busboy/deps/encoding/encoding.js:278:21
      3    0.0%    0.0%  LazyCompile: *decode /app/node_modules/multihashes/src/index.js:83:34
      3    0.0%    0.0%  LazyCompile: *cmpn /app/node_modules/bn.js/lib/bn.js:2726:37
      3    0.0%    0.0%  LazyCompile: *TextDecoder /app/node_modules/busboy/deps/encoding/encoding.js:858:21
      3    0.0%    0.0%  LazyCompile: *Socket.read net.js:620:33
      3    0.0%    0.0%  LazyCompile: *Keccak /app/node_modules/js-sha3/src/sha3.js:168:18
      3    0.0%    0.0%  LazyCompile: *FastBuffer internal/buffer.js:950:1
      3    0.0%    0.0%  LazyCompile: *EventEmitter.init events.js:129:29
      3    0.0%    0.0%  LazyCompile: *<anonymous> /app/node_modules/busboy/lib/types/multipart.js:124:31
      2    0.0%    0.0%  RegExp: ^filename$
      2    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.0%  RegExp: [^\^_`a-zA-Z\-0-9!#$%&'*+.|~]
      2    0.0%    0.0%  LazyCompile: *writevGeneric internal/stream_base_commons.js:118:23
      2    0.0%    0.0%  LazyCompile: *toAsyncIterable /app/node_modules/ipfs-core-utils/src/files/normalise-input/normalise-content.js:15:34
      2    0.0%    0.0%  LazyCompile: *stat internal/modules/cjs/loader.js:123:14
      2    0.0%    0.0%  LazyCompile: *setHeader _http_outgoing.js:528:57
      2    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:980:17
      2    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      2    0.0%    0.0%  LazyCompile: *nop _stream_writable.js:66:13
      2    0.0%    0.0%  LazyCompile: *mul /app/node_modules/bn.js/lib/bn.js:1873:35
      2    0.0%    0.0%  LazyCompile: *module.exports /app/node_modules/is-plain-obj/index.js:3:18
      2    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:588:24
      2    0.0%    0.0%  LazyCompile: *internalBinding internal/bootstrap/loaders.js:133:45
      2    0.0%    0.0%  LazyCompile: *iaddn /app/node_modules/bn.js/lib/bn.js:2127:39
      2    0.0%    0.0%  LazyCompile: *header /app/node_modules/express/lib/response.js:754:29
      2    0.0%    0.0%  LazyCompile: *getOptionValue internal/options.js:8:24
      2    0.0%    0.0%  LazyCompile: *get internal/bootstrap/pre_execution.js:309:8
      2    0.0%    0.0%  LazyCompile: *fromStringFast buffer.js:422:24
      2    0.0%    0.0%  LazyCompile: *clone /app/node_modules/ipfs-utils/node_modules/merge-options/index.js:42:15
      2    0.0%    0.0%  LazyCompile: *addListener events.js:404:58
      2    0.0%    0.0%  LazyCompile: *_read _http_incoming.js:97:49
      2    0.0%    0.0%  LazyCompile: *_addListener events.js:342:22
      2    0.0%    0.0%  LazyCompile: *RedisClient.write /app/node_modules/redis/index.js:947:40
      2    0.0%    0.0%  LazyCompile: *ReadableState _stream_readable.js:88:23
      2    0.0%    0.0%  LazyCompile: *Keccak.update /app/node_modules/js-sha3/src/sha3.js:187:38
      2    0.0%    0.0%  LazyCompile: *<anonymous> internal/validators.js:84:3
      1    0.0%    0.0%  RegExp: ^boundary$
      1    0.0%    0.0%  RegExp: ^\/?$
      1    0.0%    0.0%  RegExp: ^[^\[]*
      1    0.0%    0.0%  RegExp: ^[A-Za-z0-9][A-Za-z0-9!#$&^_-]{0,126}$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^([^:]+):[ \t]?([\x00-\xFF]+)?$
      1    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
